FPA_ID,FIRE_NAME,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,date,cont_date,season,human
FS-1418940,HATCH,1300,1,Lightning,1530,0.5,B,39.29222222,-105.18305556,CO,"colorado,douglas",2005-06-14,2005-06-14,summer (JJA),0
FS-1418976,TROUT CREEK II,1100,1,Lightning,1218,0.2,A,38.91333333,-105.98361111,CO,"colorado,park",2005-05-30,2005-05-31,spring (MAM),0
FS-1418978,MT ELBERT,1241,4,Campfire,1506,0.1,A,39.10027778,-106.3675,CO,"colorado,lake",2005-06-21,2005-06-21,summer (JJA),1
FS-1419150,8GN,1907,1,Lightning,2130,80,C,37.345,-102.80583333,CO,"colorado,baca",2005-07-07,2005-07-07,summer (JJA),0
FS-1419344,BEAVER,1428,9,Miscellaneous,1736,2.5,B,38.89111111,-105.43194444,CO,"colorado,park",2005-06-13,2005-06-13,summer (JJA),1
FS-1419573,LAZY CHAIR,1908,1,Lightning,1831,0.25,A,39.3975,-105.24611111,CO,"colorado,jefferson",2005-06-24,2005-06-25,summer (JJA),0
FS-1419815,REDWATER,1228,9,Miscellaneous,1301,0.1,A,29.18805556,-81.88861111,FL,"florida,marion",2005-02-09,2005-02-09,winter (DJF),1
FS-1420852,MYSTERY,0110,9,Miscellaneous,1200,0.1,A,30.26777778,-84.40027778,FL,"florida,wakulla",2005-01-22,2005-01-23,winter (DJF),1
FS-1420865,MOONLIGHT,1115,5,Debris Burning,1700,0.1,A,30.28472222,-84.36666667,FL,"florida,wakulla",2005-01-23,2005-01-23,winter (DJF),1
FS-1420912,HOWDY,1515,5,Debris Burning,1800,1.7,B,30.2,-84.38333333,FL,"florida,wakulla",2005-01-23,2005-01-23,winter (DJF),1
FS-1420913,MUD PRAIRIE,1603,8,Children,1721,0.4,B,29.0925,-81.89111111,FL,"florida,marion",2005-01-25,2005-01-25,winter (DJF),1
FS-1420914,SHERRILLS MILL,2000,7,Arson,1212,1.25,B,29.16805556,-81.89611111,FL,"florida,marion",2005-01-30,2005-01-31,winter (DJF),1
